
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA NAME(NA#),PA#
#BALOCHISTAN

CHITRAL LOWER,CHITRAL (NA-1),MALAKAND,KHYBER PAKHTUNKHWA,CHITRAL (NA-1),PK-8
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-9
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-10
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-11
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-12
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-13
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-28
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-29
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-30
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-31
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-32
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-33
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-34
SWAT,SWAT (NA-2),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-2),PK-35
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-36
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-37
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-38
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-39
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-40
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-41
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-42
