
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA NAME(NA#),PA#
#BALOCHISTAN

SIALKOT,SIALKOT-III,SIALKOT,PUNJAB,SIALKOT (NA-73),PP-34
SIALKOT,SIALKOT-IV,SIALKOT,PUNJAB,SIALKOT (NA-73),PP-35
SIALKOT,SIALKOT-V,SIALKOT,PUNJAB,SIALKOT (NA-74),PP-36
SIALKOT,SIALKOT-VI,SIALKOT,PUNJAB,SIALKOT (NA-74),PP-37
SIALKOT,SIALKOT-VII,SIALKOT,PUNJAB,SIALKOT (NA-71),PP-38
SIALKOT,SIALKOT-VIII,SIALKOT,PUNJAB,SIALKOT (NA-71),PP-39
SIALKOT,SIALKOT-IX,SIALKOT,PUNJAB,SIALKOT (NA-75),PP-40
SIALKOT,SIALKOT-X,SIALKOT,PUNJAB,SIALKOT (NA-75),PP-41
SIALKOT,SIALKOT-XI,SIALKOT,PUNJAB,SIALKOT (NA-76),PP-42
SIALKOT,SIALKOT-XII,SIALKOT,PUNJAB,SIALKOT (NA-76),PP-43
SIALKOT,SIALKOT-XIII,SIALKOT,PUNJAB,SIALKOT (NA-77),PP-44
NAROWAL,NAROWAL-I,NAROWAL,PUNJAB,NAROWAL (NA-78),PP-45
NAROWAL,NAROWAL-II,NAROWAL,PUNJAB,NAROWAL (NA-78),PP-46
NAROWAL,NAROWAL-III,NAROWAL,PUNJAB,NAROWAL (NA-79),PP-47
NAROWAL,NAROWAL-IV,NAROWAL,PUNJAB,NAROWAL (NA-79),PP-48
WAZIRABAD,WAZIRABAD,WAZIRABAD,PUNJAB,WAZIRABAD (NA-80),PP-49
GUJRANWALA,GUJRANWALA-I,GUJRANWALA,PUNJAB,GUJRANWALA (NA-81),PP-50
GUJRANWALA,GUJRANWALA-II,GUJRANWALA,PUNJAB,GUJRANWALA (NA-67),PP-51
GUJRANWALA,GUJRANWALA-III,GUJRANWALA,PUNJAB,GUJRANWALA (NA-67),PP-52
GUJRANWALA,GUJRANWALA-IV,GUJRANWALA,PUNJAB,GUJRANWALA (NA-68),PP-53
GUJRANWALA,GUJRANWALA-V,GUJRANWALA,PUNJAB,GUJRANWALA (NA-68),PP-54
GUJRANWALA,GUJRANWALA-VI,GUJRANWALA,PUNJAB,GUJRANWALA (NA-69),PP-55
GUJRANWALA,GUJRANWALA-VII,GUJRANWALA,PUNJAB,GUJRANWALA (NA-69),PP-56
GUJRANWALA,GUJRANWALA-VIII,GUJRANWALA,PUNJAB,GUJRANWALA (NA-70),PP-57
GUJRANWALA,GUJRANWALA-IX,GUJRANWALA,PUNJAB,GUJRANWALA (NA-70),PP-58
MANDI_BAHAUDIN,Mandi_Bahauddin-VI,Mandi Bahauddin,PUNJAB,Mandi Bahauddin (NA-84),PP-59
SIALKOT,SIALKOT-XIV,SIALKOT,PUNJAB,SIALKOT (NA-77),PP-60
GUJRANWALA,GUJRANWALA-XI,GUJRANWALA,PUNJAB,GUJRANWALA (NA-82),PP-61
GUJRANWALA,GUJRANWALA-XII,GUJRANWALA,PUNJAB,GUJRANWALA (NA-83),PP-62
MANDI_BAHAUDIN,Mandi_Bahauddin-I,Mandi Bahauddin,PUNJAB,Mandi Bahauddin (NA-85),PP-61
GUJRANWALA,GUJRANWALA-XIII,GUJRANWALA,PUNJAB,GUJRANWALA (NA-83),PP-63
MANDI_BAHAUDIN,Mandi_Bahauddin-III,Mandi Bahauddin,PUNJAB,Mandi Bahauddin (NA-86),PP-63
GUJRANWALA,GUJRANWALA-XIV,GUJRANWALA,PUNJAB,GUJRANWALA (NA-85),PP-64
HAFIZABAD,HAFIZABAD-I,HAFIZABAD,PUNJAB,HAFIZABAD (NA-87),PP-65
HAFIZABAD,HAFIZABAD-II,HAFIZABAD,PUNJAB,HAFIZABAD (NA-87),PP-66
HAFIZABAD,HAFIZABAD-III,HAFIZABAD,PUNJAB,HAFIZABAD (NA-88),PP-67
HAFIZABAD,HAFIZABAD-IV,HAFIZABAD,PUNJAB,HAFIZABAD (NA-88),PP-68
SARGODHA,SARGODHA-I,SARGODHA,PUNJAB,SARGODHA (NA-90),PP-72
SARGODHA,SARGODHA-II,SARGODHA,PUNJAB,SARGODHA (NA-90),PP-73
SARGODHA,SARGODHA-III,SARGODHA,PUNJAB,SARGODHA (NA-91),PP-74
SARGODHA,SARGODHA-IV,SARGODHA,PUNJAB,SARGODHA (NA-91),PP-75
SARGODHA,SARGODHA-V,SARGODHA,PUNJAB,SARGODHA (NA-92),PP-76
SARGODHA,SARGODHA-VI,SARGODHA,PUNJAB,SARGODHA (NA-92),PP-77
SARGODHA,SARGODHA-VII,SARGODHA,PUNJAB,SARGODHA (NA-93),PP-78
SARGODHA,SARGODHA-VIII,SARGODHA,PUNJAB,SARGODHA (NA-93),PP-79
KHUSHAB,KHUSHAB-I,KHUSHAB,PUNJAB,KHUSHAB (NA-94),PP-80
KHUSHAB,KHUSHAB-II,KHUSHAB,PUNJAB,KHUSHAB (NA-94),PP-81
KHUSHAB,KHUSHAB-III,KHUSHAB,PUNJAB,KHUSHAB (NA-95),PP-82
KHUSHAB,KHUSHAB-IV,KHUSHAB,PUNJAB,KHUSHAB (NA-95),PP-83
BHAKKAR,BHAKKAR-I,BHAKKAR,PUNJAB,BHAKKAR (NA-96),PP-88
BHAKKAR,BHAKKAR-II,BHAKKAR,PUNJAB,BHAKKAR (NA-96),PP-89
BHAKKAR,BHAKKAR-III,BHAKKAR,PUNJAB,BHAKKAR (NA-97),PP-90
BHAKKAR,BHAKKAR-IV,BHAKKAR,PUNJAB,BHAKKAR (NA-97),PP-91
FAISALABAD,FAISALABAD-I,FAISALABAD,PUNJAB,FAISALABAD (NA-97),PP-97
FAISALABAD,FAISALABAD-II,FAISALABAD,PUNJAB,FAISALABAD (NA-97),PP-98
FAISALABAD,FAISALABAD-III,FAISALABAD,PUNJAB,FAISALABAD (NA-98),PP-99
FAISALABAD,FAISALABAD-IV,FAISALABAD,PUNJAB,FAISALABAD (NA-98),PP-100
FAISALABAD,FAISALABAD-V,FAISALABAD,PUNJAB,FAISALABAD (NA-99),PP-101
FAISALABAD,FAISALABAD-VI,FAISALABAD,PUNJAB,FAISALABAD (NA-99),PP-102
FAISALABAD,FAISALABAD-VII,FAISALABAD,PUNJAB,FAISALABAD (NA-100),PP-103
FAISALABAD,FAISALABAD-VIII,FAISALABAD,PUNJAB,FAISALABAD (NA-100),PP-104
TOBA_TEK_SINGH,TOBA_TEK_SINGH-I,TOBA TEK SINGH,PUNJAB,TOBA TEK SINGH (NA-101),PP-118
TOBA_TEK_SINGH,TOBA_TEK_SINGH-II,TOBA TEK SINGH,PUNJAB,TOBA TEK SINGH (NA-101),PP-119
TOBA_TEK_SINGH,TOBA_TEK_SINGH-III,TOBA TEK SINGH,PUNJAB,TOBA TEK SINGH (NA-102),PP-120
TOBA_TEK_SINGH,TOBA_TEK_SINGH-IV,TOBA TEK SINGH,PUNJAB,TOBA TEK SINGH (NA-102),PP-121
JHANG,JHANG-I,JHANG,PUNJAB,JHANG (NA-114),PP-125
JHANG,JHANG-II,JHANG,PUNJAB,JHANG (NA-114),PP-126
JHANG,JHANG-III,JHANG,PUNJAB,JHANG (NA-115),PP-127
JHANG,JHANG-IV,JHANG,PUNJAB,JHANG (NA-115),PP-128
JHANG,JHANG-V,JHANG,PUNJAB,JHANG (NA-116),PP-129
JHANG,JHANG-VI,JHANG,PUNJAB,JHANG (NA-116),PP-130
LAHORE,LAHORE-I,LAHORE,PUNJAB,LAHORE (NA-117),PP-146
LAHORE,LAHORE-II,LAHORE,PUNJAB,LAHORE (NA-117),PP-147
LAHORE,LAHORE-III,LAHORE,PUNJAB,LAHORE (NA-118),PP-148
LAHORE,LAHORE-IV,LAHORE,PUNJAB,LAHORE (NA-118),PP-149
LAHORE,LAHORE-V,LAHORE,PUNJAB,LAHORE (NA-119),PP-150
LAHORE,LAHORE-VI,LAHORE,PUNJAB,LAHORE (NA-119),PP-151
LAHORE,LAHORE-VII,LAHORE,PUNJAB,LAHORE (NA-120),PP-152
LAHORE,LAHORE-VIII,LAHORE,PUNJAB,LAHORE (NA-120),PP-153
LAHORE,LAHORE-IX,LAHORE,PUNJAB,LAHORE (NA-121),PP-154
LAHORE,LAHORE-X,LAHORE,PUNJAB,LAHORE (NA-121),PP-155
LAHORE,LAHORE-XI,LAHORE,PUNJAB,LAHORE (NA-122),PP-156
LAHORE,LAHORE-XII,LAHORE,PUNJAB,LAHORE (NA-122),PP-157
LAHORE,LAHORE-XIII,LAHORE,PUNJAB,LAHORE (NA-123),PP-158
LAHORE,LAHORE-XIV,LAHORE,PUNJAB,LAHORE (NA-123),PP-159
LAHORE,LAHORE-XV,LAHORE,PUNJAB,LAHORE (NA-124),PP-160
LAHORE,LAHORE-XVI,LAHORE,PUNJAB,LAHORE (NA-124),PP-161
LAHORE,LAHORE-XVII,LAHORE,PUNJAB,LAHORE (NA-125),PP-162
LAHORE,LAHORE-XVIII,LAHORE,PUNJAB,LAHORE (NA-125),PP-163
LAHORE,LAHORE-XIX,LAHORE,PUNJAB,LAHORE (NA-126),PP-164
LAHORE,LAHORE-XX,LAHORE,PUNJAB,LAHORE (NA-126),PP-165
LAHORE,LAHORE-XXI,LAHORE,PUNJAB,LAHORE (NA-127),PP-166
LAHORE,LAHORE-XXII,LAHORE,PUNJAB,LAHORE (NA-127),PP-167
LAHORE,LAHORE-XXIII,LAHORE,PUNJAB,LAHORE (NA-128),PP-168
LAHORE,LAHORE-XXIV,LAHORE,PUNJAB,LAHORE (NA-128),PP-169
SHEIKHUPURA,SHEIKHUPURA-I,SHEIKHUPURA,PUNJAB,SHEIKHUPURA (NA-129),PP-170
SHEIKHUPURA,SHEIKHUPURA-II,SHEIKHUPURA,PUNJAB,SHEIKHUPURA (NA-129),PP-171
SHEIKHUPURA,SHEIKHUPURA-III,SHEIKHUPURA,PUNJAB,SHEIKHUPURA (NA-130),PP-172
SHEIKHUPURA,SHEIKHUPURA-IV,SHEIKHUPURA,PUNJAB,SHEIKHUPURA (NA-130),PP-173
SHEIKHUPURA,SHEIKHUPURA-V,SHEIKHUPURA,PUNJAB,SHEIKHUPURA (NA-131),PP-174
KASUR,KASUR-I,KASUR,PUNJAB,KASUR (NA-137),PP-175
KASUR,KASUR-II,KASUR,PUNJAB,KASUR (NA-137),PP-176
KASUR,KASUR-III,KASUR,PUNJAB,KASUR (NA-138),PP-177
KASUR,KASUR-IV,KASUR,PUNJAB,KASUR (NA-138),PP-178
KASUR,KASUR-V,KASUR,PUNJAB,KASUR (NA-139),PP-179
KASUR,KASUR-VI,KASUR,PUNJAB,KASUR (NA-139),PP-180
OKARA,OKARA-I,OKARA,PUNJAB,OKARA (NA-140),PP-181
OKARA,OKARA-II,OKARA,PUNJAB,OKARA (NA-140),PP-182
OKARA,OKARA-III,OKARA,PUNJAB,OKARA (NA-141),PP-183
OKARA,OKARA-IV,OKARA,PUNJAB,OKARA (NA-141),PP-184
OKARA,OKARA-V,OKARA,PUNJAB,OKARA (NA-142),PP-185
OKARA,OKARA-VI,OKARA,PUNJAB,OKARA (NA-142),PP-186
OKARA,OKARA-VII,OKARA,PUNJAB,SAHIWAL (NA-145),PP-187
OKARA,OKARA-VIII,OKARA,PUNJAB,SAHIWAL (NA-145),PP-188
OKARA,OKARA-IX,OKARA,PUNJAB,SAHIWAL (NA-146),PP-189
OKARA,OKARA-X,OKARA,PUNJAB,SAHIWAL (NA-146),PP-190
PAKPATTAN,PAKPATTAN-I,PAKPATTAN,PUNJAB,SAHIWAL (NA-147),PP-191
PAKPATTAN,PAKPATTAN-II,PAKPATTAN,PUNJAB,SAHIWAL (NA-147),PP-192
PAKPATTAN,PAKPATTAN-III,PAKPATTAN,PUNJAB,SAHIWAL (NA-148),PP-193
PAKPATTAN,PAKPATTAN-IV,PAKPATTAN,PUNJAB,SAHIWAL (NA-148),PP-194
SAHIWAL,SAHIWAL-I,SAHIWAL,PUNJAB,SAHIWAL (NA-143),PP-197
SAHIWAL,SAHIWAL-II,SAHIWAL,PUNJAB,SAHIWAL (NA-143),PP-198
SAHIWAL,SAHIWAL-III,SAHIWAL,PUNJAB,SAHIWAL (NA-144),PP-199
SAHIWAL,SAHIWAL-IV,SAHIWAL,PUNJAB,SAHIWAL (NA-144),PP-200
CHICHAWATNI,CHICHAWATNI-I,CHICHAWATNI,PUNJAB,SAHIWAL (NA-149),PP-201
CHICHAWATNI,CHICHAWATNI-II,CHICHAWATNI,PUNJAB,SAHIWAL (NA-149),PP-202
SAHIWAL,SAHIWAL-V,SAHIWAL,PUNJAB,SAHIWAL (NA-150),PP-203
SAHIWAL,SAHIWAL-VI,SAHIWAL,PUNJAB,SAHIWAL (NA-150),PP-204
MULTAN,MULTAN-I,MULTAN,PUNJAB,MULTAN (NA-151),PP-214
MULTAN,MULTAN-II,MULTAN,PUNJAB,MULTAN (NA-151),PP-215
MULTAN,MULTAN-III,MULTAN,PUNJAB,MULTAN (NA-152),PP-216
MULTAN,MULTAN-IV,MULTAN,PUNJAB,MULTAN (NA-152),PP-217
MULTAN,MULTAN-V,MULTAN,PUNJAB,MULTAN (NA-153),PP-218
MULTAN,MULTAN-VI,MULTAN,PUNJAB,MULTAN (NA-153),PP-219
MULTAN,MULTAN-VII,MULTAN,PUNJAB,MULTAN (NA-154),PP-220
MULTAN,MULTAN-VIII,MULTAN,PUNJAB,MULTAN (NA-154),PP-221
KHANEWAL,KHANEWAL-I,KHANEWAL,PUNJAB,MULTAN (NA-155),PP-222
KHANEWAL,KHANEWAL-II,KHANEWAL,PUNJAB,MULTAN (NA-155),PP-223
KHANEWAL,KHANEWAL-III,KHANEWAL,PUNJAB,MULTAN (NA-156),PP-224
KHANEWAL,KHANEWAL-IV,KHANEWAL,PUNJAB,MULTAN (NA-156),PP-225
KHANEWAL,KHANEWAL-V,KHANEWAL,PUNJAB,MULTAN (NA-157),PP-226
KHANEWAL,KHANEWAL-VI,KHANEWAL,PUNJAB,MULTAN (NA-157),PP-227
LODHRAN,LODHRAN-I,LODHRAN,PUNJAB,MULTAN (NA-161),PP-228
LODHRAN,LODHRAN-II,LODHRAN,PUNJAB,MULTAN (NA-161),PP-229
LODHRAN,LODHRAN-III,LODHRAN,PUNJAB,MULTAN (NA-162),PP-230
VEHARI,VEHARI-I,VEHARI,PUNJAB,SAHIWAL (NA-163),PP-231
VEHARI,VEHARI-II,VEHARI,PUNJAB,SAHIWAL (NA-163),PP-232
VEHARI,VEHARI-III,VEHARI,PUNJAB,SAHIWAL (NA-164),PP-233
VEHARI,VEHARI-IV,VEHARI,PUNJAB,SAHIWAL (NA-164),PP-234
VEHARI,VEHARI-V,VEHARI,PUNJAB,SAHIWAL (NA-165),PP-235
DUNYAPUR,DUNYAPUR-I,DUNYAPUR,PUNJAB,MULTAN (NA-159),PP-236
DUNYAPUR,DUNYAPUR-II,DUNYAPUR,PUNJAB,MULTAN (NA-159),PP-237
MIAN_CHANNU,MIAN_CHANNU-I,MIAN CHANNU,PUNJAB,MULTAN (NA-160),PP-238
MIAN_CHANNU,MIAN_CHANNU-II,MIAN CHANNU,PUNJAB,MULTAN (NA-160),PP-239
MULTAN,MULTAN-IX,MULTAN,PUNJAB,MULTAN (NA-158),PP-240
MULTAN,MULTAN-X,MULTAN,PUNJAB,MULTAN (NA-158),PP-241
BAHAWALNAGAR,BAHAWALNAGAR-I,BAHAWALNAGAR,PUNJAB,BAHAWALPUR (NA-166),PP-246
BAHAWALNAGAR,BAHAWALNAGAR-II,BAHAWALNAGAR,PUNJAB,BAHAWALPUR (NA-166),PP-247
BAHAWALNAGAR,BAHAWALNAGAR-III,BAHAWALNAGAR,PUNJAB,BAHAWALPUR (NA-167),PP-248
BAHAWALNAGAR,BAHAWALNAGAR-IV,BAHAWALNAGAR,PUNJAB,BAHAWALPUR (NA-167),PP-249
BAHAWALPUR,BAHAWALPUR-I,BAHAWALPUR,PUNJAB,BAHAWALPUR (NA-170),PP-250
BAHAWALPUR,BAHAWALPUR-II,BAHAWALPUR,PUNJAB,BAHAWALPUR (NA-170),PP-251
BAHAWALPUR,BAHAWALPUR-III,BAHAWALPUR,PUNJAB,BAHAWALPUR (NA-171),PP-252
BAHAWALPUR,BAHAWALPUR-IV,BAHAWALPUR,PUNJAB,BAHAWALPUR (NA-171),PP-253
BAHAWALPUR,BAHAWALPUR-V,BAHAWALPUR,PUNJAB,BAHAWALPUR (NA-172),PP-254
BAHAWALPUR,BAHAWALPUR-VI,BAHAWALPUR,PUNJAB,BAHAWALPUR (NA-172),PP-255
RAHIM_YAR_KHAN,RAHIM_YAR_KHAN-I,RAHIMYARKHAN,PUNJAB,BAHAWALPUR (NA-173),PP-256
RAHIM_YAR_KHAN,RAHIM_YAR_KHAN-II,RAHIMYARKHAN,PUNJAB,BAHAWALPUR (NA-173),PP-257
RAHIM_YAR_KHAN,RAHIM_YAR_KHAN-III,RAHIMYARKHAN,PUNJAB,BAHAWALPUR (NA-174),PP-258
RAHIM_YAR_KHAN,RAHIM_YAR_KHAN-IV,RAHIMYARKHAN,PUNJAB,BAHAWALPUR (NA-174),PP-259
RAHIM_YAR_KHAN,RAHIM_YAR_KHAN-V,RAHIMYARKHAN,PUNJAB,BAHAWALPUR (NA-175),PP-260
MUZAFFARGARH,MUZAFFARGARH-I,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-182),PP-270
MUZAFFARGARH,MUZAFFARGARH-II,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-182),PP-271
MUZAFFARGARH,MUZAFFARGARH-III,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-183),PP-272
MUZAFFARGARH,MUZAFFARGARH-IV,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-183),PP-273
MUZAFFARGARH,MUZAFFARGARH-V,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-184),PP-274
MUZAFFARGARH,MUZAFFARGARH-VI,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-184),PP-275
MUZAFFARGARH,MUZAFFARGARH-VII,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-185),PP-276
MUZAFFARGARH,MUZAFFARGARH-VIII,MUZAFFARGARH,PUNJAB,DERAGHAZIKHAN (NA-185),PP-277
LAYYAH,LAYYAH-I,LAYYAH,PUNJAB,DERAGHAZIKHAN (NA-187),PP-280
LAYYAH,LAYYAH-II,LAYYAH,PUNJAB,DERAGHAZIKHAN (NA-187),PP-281
LAYYAH,LAYYAH-III,LAYYAH,PUNJAB,DERAGHAZIKHAN (NA-188),PP-282
D.G.KHAN,D.G.KHAN-V,D.G.KHAN,PUNJAB,DERAGHAZIKHAN (NA-189),PP-286
D.G.KHAN,D.G.KHAN-VI,D.G.KHAN,PUNJAB,DERAGHAZIKHAN (NA-189),PP-287
D.G._KHAN,D.G._KHAN-I,D.G.KHAN,PUNJAB,DERAGHAZIKHAN (NA-189),PP-288
D.G._KHAN,D.G._KHAN-II,D.G.KHAN,PUNJAB,DERAGHAZIKHAN (NA-189),PP-289
D.G._KHAN,D.G._KHAN-III,D.G.KHAN,PUNJAB,DERAGHAZIKHAN (NA-189),PP-290
D.G._KHAN,D.G._KHAN-IV,D.G.KHAN,PUNJAB,DERAGHAZIKHAN (NA-189),PP-291
RAJANPUR,RAJANPUR-I,RAJANPUR,PUNJAB,DERAGHAZIKHAN (NA-189),PP-292
RAJANPUR,RAJANPUR-II,RAJANPUR,PUNJAB,DERAGHAZIKHAN (NA-189),PP-293
RAJANPUR,RAJANPUR-III,RAJANPUR,PUNJAB,DERAGHAZIKHAN (NA-189),PP-294
RAJANPUR,RAJANPUR-IV,RAJANPUR,PUNJAB,DERAGHAZIKHAN (NA-189),PP-295
RAJANPUR,RAJANPUR-V,RAJANPUR,PUNJAB,DERAGHAZIKHAN (NA-189),PP-296
RAJANPUR,RAJANPUR-VI,RAJANPUR,PUNJAB,DERAGHAZIKHAN (NA-189),PP-297



#SINDH

JACOBABAD,JACOBABAD-I,JACOBABAD,SINDH,JACOBABAD (NA-190),PS-1
JACOBABAD,JACOBABAD-II,JACOBABAD,SINDH,JACOBABAD (NA-190),PS-2
KASHMORE,KASHMORE-I,KASHMORE,SINDH,KASHMORE (NA-191),PS-3
KASHMORE,KASHMORE-II,KASHMORE,SINDH,KASHMORE (NA-191),PS-4
LARKANA,LARKANA-I,LARKANA,SINDH,LARKANA (NA-192),PS-5
LARKANA,LARKANA-II,LARKANA,SINDH,LARKANA (NA-192),PS-6
QAMBAR_SHAHDADKOT,QAMBAR_SHAHDADKOT-I,QAMBAR_SHAHDADKOT,SINDH,QAMBAR SHAHDADKOT (NA-193),PS-7
QAMBAR_SHAHDADKOT,QAMBAR_SHAHDADKOT-II,QAMBAR_SHAHDADKOT,SINDH,QAMBAR SHAHDADKOT (NA-193),PS-8
SHIKARPUR,SHIKARPUR-I,SHIKARPUR,SINDH,SHIKARPUR (NA-194),PS-9
SHIKARPUR,SHIKARPUR-II,SHIKARPUR,SINDH,SHIKARPUR (NA-194),PS-10
SHIKARPUR,SHIKARPUR-III,SHIKARPUR,SINDH,SHIKARPUR (NA-195),PS-11
SHIKARPUR,SHIKARPUR-IV,SHIKARPUR,SINDH,SHIKARPUR (NA-195),PS-12
LARKANA,LARKANA-III,LARKANA,SINDH,LARKANA (NA-196),PS-13
GHOTKI,GHOTKI-I,GHOTKI,SINDH,GHOTKI (NA-197),PS-14
GHOTKI,GHOTKI-II,GHOTKI,SINDH,GHOTKI (NA-197),PS-15
SUKKUR,SUKKUR-I,SUKKUR,SINDH,SUKKUR (NA-198),PS-16
SUKKUR,SUKKUR-II,SUKKUR,SINDH,SUKKUR (NA-198),PS-17
KHAIRPUR,KHAIRPUR-I,KHAIRPUR,SINDH,KHAIRPUR (NA-199),PS-18
SUKKUR,SUKKUR-III,SUKKUR,SINDH,SUKKUR (NA-199),PS-19
KHAIRPUR,KHAIRPUR-II,KHAIRPUR,SINDH,KHAIRPUR (NA-199),PS-20
KHAIRPUR,KHAIRPUR-III,KHAIRPUR,SINDH,KHAIRPUR (NA-200),PS-21
KHAIRPUR,KHAIRPUR-IV,KHAIRPUR,SINDH,KHAIRPUR (NA-200),PS-22
KHAIRPUR,KHAIRPUR-V,KHAIRPUR,SINDH,KHAIRPUR (NA-201),PS-23
KHAIRPUR,KHAIRPUR-VI,KHAIRPUR,SINDH,KHAIRPUR (NA-201),PS-24
SHAHEED_BENAZIRABAD,SHAHEED_BENAZIRABAD-I,SHAHEED_BENAZIRABAD,SINDH,SHAHEED BENAZIRABAD (NA-202),PS-25
SHAHEED_BENAZIRABAD,SHAHEED_BENAZIRABAD-II,SHAHEED_BENAZIRABAD,SINDH,SHAHEED BENAZIRABAD (NA-202),PS-26
NAUSHAHRO_FEROZE,NAUSHAHRO_FEROZE-I,NAUSHAHRO_FEROZE,SINDH,NAUSHAHRO FEROZE (NA-203),PS-27
NAUSHAHRO_FEROZE,NAUSHAHRO_FEROZE-II,NAUSHAHRO_FEROZE,SINDH,NAUSHAHRO FEROZE (NA-203),PS-28
SANGHAR,SANGHAR-I,SANGHAR,SINDH,SANGHAR (NA-204),PS-29
SANGHAR,SANGHAR-II,SANGHAR,SINDH,SANGHAR (NA-204),PS-30
SANGHAR,SANGHAR-III,SANGHAR,SINDH,SANGHAR (NA-205),PS-31
SANGHAR,SANGHAR-IV,SANGHAR,SINDH,SANGHAR (NA-205),PS-32
MIRPURKHAS,MIRPURKHAS-I,MIRPURKHAS,SINDH,MIRPURKHAS (NA-206),PS-33
MIRPURKHAS,MIRPURKHAS-II,MIRPURKHAS,SINDH,MIRPURKHAS (NA-206),PS-34
UMERKOT,UMERKOT-I,UMERKOT,SINDH,UMERKOT (NA-207),PS-35
UMERKOT,UMERKOT-II,UMERKOT,SINDH,UMERKOT (NA-207),PS-36
THARPARKAR,THARPARKAR-I,THARPARKAR,SINDH,THARPARKAR (NA-208),PS-37
THARPARKAR,THARPARKAR-II,THARPARKAR,SINDH,THARPARKAR (NA-208),PS-38
SANGHAR,SANGHAR-V,SANGHAR,SINDH,SANGHAR (NA-209),PS-39
SANGHAR,SANGHAR-VI,SANGHAR,SINDH,SANGHAR (NA-209),PS-40
HYDERABAD,HYDERABAD-I,HYDERABAD,SINDH,HYDERABAD (NA-210),PS-41
HYDERABAD,HYDERABAD-II,HYDERABAD,SINDH,HYDERABAD (NA-210),PS-42
TANDO_ALLAHYAR,TANDO_ALLAHYAR-I,TANDO_ALLAHYAR,SINDH,TANDO ALLAHYAR (NA-211),PS-43
TANDO_ALLAHYAR,TANDO_ALLAHYAR-II,TANDO_ALLAHYAR,SINDH,TANDO ALLAHYAR (NA-211),PS-44
MATIARI,MATIARI,MATIARI,SINDH,MATIARI (NA-212),PS-45
TANDO_MUHAMMAD_KHAN,TANDO_MUHAMMAD_KHAN-I,TANDO_MUHAMMAD_KHAN,SINDH,TANDO MUHAMMAD KHAN (NA-213),PS-46
TANDO_MUHAMMAD_KHAN,TANDO_MUHAMMAD_KHAN-II,TANDO_MUHAMMAD_KHAN,SINDH,TANDO MUHAMMAD KHAN (NA-213),PS-47
THATTA,THATTA-I,THATTA,SINDH,THATTA (NA-214),PS-48
SUJAWAL,SUJAWAL,SUJAWAL,SINDH,SUJAWAL (NA-215),PS-49
BADIN,BADIN-I,BADIN,SINDH,BADIN (NA-216),PS-50
BADIN,BADIN-II,BADIN,SINDH,BADIN (NA-216),PS-51
BADIN,BADIN-III,BADIN,SINDH,BADIN (NA-217),PS-52
BADIN,BADIN-IV,BADIN,SINDH,BADIN (NA-217),PS-53
DADU,DADU-I,DADU,SINDH,DADU (NA-218),PS-54
DADU,DADU-II,DADU,SINDH,DADU (NA-218),PS-55
DADU,DADU-III,DADU,SINDH,DADU (NA-219),PS-56
JAMSHORO,JAMSHORO-I,JAMSHORO,SINDH,JAMSHORO (NA-220),PS-57
JAMSHORO,JAMSHORO-II,JAMSHORO,SINDH,JAMSHORO (NA-220),PS-58
KARACHI_MALIR,KARACHI_MALIR-I,KARACHI_MALIR,SINDH,KARACHI MALIR (NA-221),PS-59
KARACHI_MALIR,KARACHI_MALIR-II,KARACHI_MALIR,SINDH,KARACHI MALIR (NA-221),PS-60
KARACHI_MALIR,KARACHI_MALIR-III,KARACHI_MALIR,SINDH,KARACHI MALIR (NA-222),PS-61
KARACHI_KORANGI,KARACHI_KORANGI-I,KARACHI_KORANGI,SINDH,KARACHI KORANGI (NA-223),PS-62
KARACHI_KORANGI,KARACHI_KORANGI-II,KARACHI_KORANGI,SINDH,KARACHI KORANGI (NA-223),PS-63
KARACHI_KORANGI,KARACHI_KORANGI-III,KARACHI_KORANGI,SINDH,KARACHI KORANGI (NA-224),PS-64
KARACHI_KORANGI,KARACHI_KORANGI-IV,KARACHI_KORANGI,SINDH,KARACHI KORANGI (NA-224),PS-65
KARACHI_SOUTH,KARACHI_SOUTH-I,KARACHI_SOUTH,SINDH,KARACHI SOUTH (NA-225),PS-66
KARACHI_SOUTH,KARACHI_SOUTH-II,KARACHI_SOUTH,SINDH,KARACHI SOUTH (NA-225),PS-67
KARACHI_EAST,KARACHI_EAST-I,KARACHI_EAST,SINDH,KARACHI EAST (NA-226),PS-68
KARACHI_EAST,KARACHI_EAST-II,KARACHI_EAST,SINDH,KARACHI EAST (NA-226),PS-69
KARACHI_EAST,KARACHI_EAST-III,KARACHI_EAST,SINDH,KARACHI EAST (NA-227),PS-70
KARACHI_EAST,KARACHI_EAST-IV,KARACHI_EAST,SINDH,KARACHI EAST (NA-227),PS-71
KARACHI_CENTRAL,KARACHI_CENTRAL-I,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-228),PS-72
